[2023.09.14 11:46:02.142] [HTTP] /client/resources/img/ade_icon.png (Method: GET, IP: ::1)
[2023.09.14 11:46:02.144] [HTTP] /client/resources/img/smoothie_icon.png (Method: GET, IP: ::1)
[2023.09.14 11:46:02.145] [HTTP] /client/resources/img/frappuccino_icon.png (Method: GET, IP: ::1)
[2023.09.14 11:46:02.148] [HTTP] /client/resources/img/coke_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:04:52.750] ★★★ Node.js를 활용한 Web Server 구동(Port:80) ★★★
[2023.09.14 13:04:56.559] [HTTP] /cafe.page (Method: GET, IP: ::1)
[2023.09.14 13:04:56.577] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.14 13:04:56.580] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.14 13:04:56.581] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.14 13:04:56.581] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.14 13:04:56.640] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.14 13:04:56.641] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.14 13:04:56.644] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
[2023.09.14 13:04:56.645] [HTTP] /client/resources/img/ade.png (Method: GET, IP: ::1)
[2023.09.14 13:04:56.646] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.14 13:04:56.649] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.14 13:04:56.650] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.14 13:04:56.651] [HTTP] /menuSelectList.zz (Method: GET, IP: ::1)
[2023.09.14 13:04:56.679] [HTTP] /client/resources/img/americano_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:04:56.680] [HTTP] /client/resources/img/cafe_latte_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:04:56.681] [HTTP] /client/resources/img/ade_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:04:56.682] [HTTP] /client/resources/img/smoothie_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:04:56.686] [HTTP] /client/resources/img/frappuccino_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:04:56.687] [HTTP] /client/resources/img/coke_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:04:59.977] [HTTP] /menuDelete.zz (Method: DELETE, IP: ::1)
[2023.09.14 13:09:00.979] ★★★ Node.js를 활용한 Web Server 구동(Port:80) ★★★
[2023.09.14 13:09:08.402] [HTTP] / (Method: GET, IP: ::1)
[2023.09.14 13:09:08.487] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.14 13:09:08.490] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.14 13:09:08.492] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.14 13:09:08.494] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.14 13:09:08.542] [HTTP] /client/resources/jpg/kopi.jpg (Method: GET, IP: ::1)
[2023.09.14 13:09:08.544] [HTTP] /client/resources/jpg/main2.png (Method: GET, IP: ::1)
[2023.09.14 13:09:08.545] [HTTP] /client/resources/jpg/main3.png (Method: GET, IP: ::1)
[2023.09.14 13:09:08.546] [HTTP] /client/resources/jpg/main5.png (Method: GET, IP: ::1)
[2023.09.14 13:09:08.547] [HTTP] /client/resources/img/left.png (Method: GET, IP: ::1)
[2023.09.14 13:09:08.547] [HTTP] /client/resources/img/right.png (Method: GET, IP: ::1)
[2023.09.14 13:09:08.553] [HTTP] /client/resources/jpg/new1.jpg (Method: GET, IP: ::1)
[2023.09.14 13:09:08.554] [HTTP] /client/resources/jpg/new2.jpg (Method: GET, IP: ::1)
[2023.09.14 13:09:08.555] [HTTP] /client/resources/jpg/new3.jpg (Method: GET, IP: ::1)
[2023.09.14 13:09:08.559] [HTTP] /client/resources/jpg/new4.jpg (Method: GET, IP: ::1)
[2023.09.14 13:09:08.560] [HTTP] /client/resources/jpg/ba.jpg (Method: GET, IP: ::1)
[2023.09.14 13:09:09.607] [HTTP] /menuSelectList.zz (Method: GET, IP: ::1)
[2023.09.14 13:09:09.619] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.14 13:09:09.620] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.14 13:09:09.621] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
[2023.09.14 13:09:09.621] [HTTP] /client/resources/img/ade.png (Method: GET, IP: ::1)
[2023.09.14 13:09:09.622] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.14 13:09:09.625] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.14 13:09:09.627] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.14 13:09:09.636] [HTTP] /client/resources/img/americano_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:09:09.638] [HTTP] /client/resources/img/cafe_latte_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:09:09.638] [HTTP] /client/resources/img/ade_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:09:09.639] [HTTP] /client/resources/img/smoothie_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:09:09.640] [HTTP] /client/resources/img/frappuccino_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:09:09.640] [HTTP] /client/resources/img/coke_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:09:13.480] [HTTP] /menuDelete.zz?product_index=${index} (Method: DELETE, IP: ::1)
[2023.09.14 13:09:17.642] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.14 13:09:17.644] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.14 13:12:40.307] [HTTP] /cafe.page (Method: GET, IP: ::1)
[2023.09.14 13:12:40.320] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.14 13:12:40.321] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.14 13:12:40.323] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.14 13:12:40.324] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.14 13:12:40.391] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.14 13:12:40.392] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.14 13:12:40.394] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
[2023.09.14 13:12:40.394] [HTTP] /client/resources/img/ade.png (Method: GET, IP: ::1)
[2023.09.14 13:12:40.395] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.14 13:12:40.396] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.14 13:12:40.398] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.14 13:12:40.400] [HTTP] /menuSelectList.zz (Method: GET, IP: ::1)
[2023.09.14 13:12:40.424] [HTTP] /client/resources/img/americano_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:12:40.425] [HTTP] /client/resources/img/cafe_latte_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:12:40.426] [HTTP] /client/resources/img/ade_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:12:40.427] [HTTP] /client/resources/img/smoothie_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:12:40.427] [HTTP] /client/resources/img/frappuccino_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:12:40.428] [HTTP] /client/resources/img/coke_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:12:43.120] [HTTP] /menuDelete.zz?product_index=1 (Method: DELETE, IP: ::1)
[2023.09.14 13:21:41.214] [HTTP] /cafe.page (Method: GET, IP: ::1)
[2023.09.14 13:21:41.228] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.14 13:21:41.229] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.14 13:21:41.229] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.14 13:21:41.230] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.14 13:21:41.295] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.14 13:21:41.296] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.14 13:21:41.298] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
[2023.09.14 13:21:41.300] [HTTP] /client/resources/img/ade.png (Method: GET, IP: ::1)
[2023.09.14 13:21:41.302] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.14 13:21:41.303] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.14 13:21:41.306] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.14 13:21:41.307] [HTTP] /menuSelectList.zz (Method: GET, IP: ::1)
[2023.09.14 13:21:41.331] [HTTP] /client/resources/img/americano_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:21:41.333] [HTTP] /client/resources/img/cafe_latte_icon.png (Method: GET, IP: ::1)
